DATE,DAY,MONTH,QUARTER,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
22-Jun-26,Monday,June,Q2,2026,EQ,1414.00,1444.00,1414.00,1409.60,1440.00,1435.20,1431.98,1854.00,1304.10,2165308.00,73137.00
19-Jun-26,Friday,June,Q2,2026,EQ,1350.00,1417.20,1344.00,1447.70,1414.00,1409.60,1383.83,1854.00,1304.10,5864187.00,262136.00
18-Jun-26,Thursday,June,Q2,2026,EQ,1454.00,1460.00,1435.50,1462.40,1447.80,1447.70,1445.09,1854.00,1304.10,2273483.00,59957.00
17-Jun-26,Wednesday,June,Q2,2026,EQ,1455.00,1476.80,1454.00,1446.80,1457.60,1462.40,1466.20,1854.00,1304.10,2126833.00,63723.00
16-Jun-26,Tuesday,June,Q2,2026,EQ,1435.10,1455.70,1422.90,1425.60,1450.00,1446.80,1439.49,1854.00,1304.10,1987359.00,55570.00
15-Jun-26,Monday,June,Q2,2026,EQ,1441.20,1454.70,1423.60,1429.20,1426.90,1425.60,1431.96,1854.00,1304.10,1926338.00,62029.00
12-Jun-26,Friday,June,Q2,2026,EQ,1477.00,1478.60,1425.00,1465.10,1433.10,1429.20,1436.41,1854.00,1304.10,2460369.00,80528.00
11-Jun-26,Thursday,June,Q2,2026,EQ,1456.80,1481.90,1437.70,1478.90,1467.00,1465.10,1461.68,1854.00,1304.10,2088978.00,108572.00
10-Jun-26,Wednesday,June,Q2,2026,EQ,1480.00,1496.30,1471.20,1483.80,1479.00,1478.90,1482.80,1854.00,1304.10,1082678.00,62431.00
9-Jun-26,Tuesday,June,Q2,2026,EQ,1516.50,1518.40,1473.20,1503.40,1486.50,1483.80,1484.45,1854.00,1304.10,1330108.00,78898.00
8-Jun-26,Monday,June,Q2,2026,EQ,1469.10,1511.10,1459.00,1483.50,1498.00,1503.40,1496.82,1854.00,1304.10,2467960.00,89577.00
5-Jun-26,Friday,June,Q2,2026,EQ,1508.70,1524.00,1467.90,1487.30,1482.00,1483.50,1489.08,1854.00,1304.10,2201977.00,85980.00
4-Jun-26,Thursday,June,Q2,2026,EQ,1460.00,1499.70,1453.10,1472.30,1486.80,1487.30,1485.55,1854.00,1304.10,2061503.00,71914.00
3-Jun-26,Wednesday,June,Q2,2026,EQ,1549.10,1554.70,1467.60,1571.40,1470.00,1472.30,1493.06,1854.00,1304.10,3493572.00,120613.00
2-Jun-26,Tuesday,June,Q2,2026,EQ,1562.90,1589.00,1554.00,1543.20,1570.10,1571.40,1573.75,1854.00,1304.10,4169279.00,182234.00
1-Jun-26,Monday,June,Q2,2026,EQ,1495.20,1562.50,1495.20,1483.90,1539.00,1543.20,1544.34,1854.00,1304.10,5243443.00,132544.00
29-May-26,Friday,May,Q2,2026,EQ,1476.90,1496.60,1460.10,1455.60,1480.00,1483.90,1483.71,1854.00,1304.10,3955137.00,91447.00
27-May-26,Wednesday,May,Q2,2026,EQ,1460.10,1479.00,1451.10,1458.70,1456.20,1455.60,1465.13,1854.00,1304.10,1825192.00,60526.00
